Category,Sub Category,Sub Sub Category,Link,Product Link,Product,Price,Location,Total Rating,Discount,Color,Storage,Quantity Left,Product detail,Rating&Reviews(Overall),5star,4star,3star,2star,1star,Review
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-redmi-note-9-3gb64gb-4gb128gb-smartphone-free-shipping-i1070024128-s2936178789.html?search=1,"Xiaomi Redmi Note 9 (3GB+64GB / 4GB+128GB) Smartphone, Free Shipping",RM749.00,Malaysia,44 Ratings, ,"Forest Green
Midnight Grey
Polar White","128GB
64GB", ,"Xiaomi Redmi Note 9 (3+64GB) Smartphone, Free Shipping",4.9/5.0,41,2,1,0,0,"[{'Date': '2020-06-22', 'Time': '21:23 PM', 'Reviewer': 'by Zaleha N.', 'Comment': 'penghantaran cepat....bagus seller....good product quality', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '17:23 PM', 'Reviewer': 'by Song J.', 'Comment': 'item arrived as described, great seller', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/poco-f2-pro-6gb-ram128gb-rom-5g-smartphone-free-shipping-eta24th-june-i1109358120-s3110116748.html?search=1,"POCO F2 Pro (6GB RAM+128GB ROM) 5G Smartphone, Free Shipping [ETA:24th June]","RM2,199.00", ,0 Ratings, ,"Cyber Grey
Phantom White
Neon Blue
Electric Purple",128GB, ,"POCO F2 Pro (6GB RAM+128GB ROM) Smartphone, Free Shipping
6.67” AMOLED Full Screen Display
64MP quad rear camera
20MP pop-up front camera
Charging and battery: 4700mAh(typ) / 4600mAh(min)*",0/5.0,0,0,0,0,0,['']
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/huawei-nova-7i-8gb-128gb-free-shipping-i801248352-s1867448255.html?search=1,HUAWEI NOVA 7I 8gb + 128gb Free Shipping,"RM1,099.00",Selangor,144 Ratings, ,"Midnight Black
Crush Green
Sakura",128GB,,"GENERALModel Name: Huawei Nova 7i
Colour: Midnight Black, Crush Green, Sakura Pink
Dimensions:159.2 mm (H) x 76.3 mm (W) x 8.7 mm (D)
In The Box:Handset(with Built-in battery), Charger, Type-C Cable, Headset, Quick Start Guide, Warranty Card, Eject Tool, TPU Protective Cover & TP Protective film
Item Weight: Approx 183g",4.4/5.0,108,16,5,4,11,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/free-gifts-extended-warranty-huawei-nova-5t-smartphone-8gb-ram-128gb-rom-huawei-malaysia-warranty-i568318208-s1282152746.html?search=1,[Free Gifts + Extended Warranty] Huawei Nova 5T Smartphone (8GB RAM + 128GB ROM) Huawei Malaysia Warranty,"RM1,239.00",Kedah,391 Ratings,-23%,"Crush Blue, Set A
Midsummer Purple, Set E
Crush Green, Set E
Midsummer Purple, Set B
Midsummer Purple, Set C
Crush Green, Set A
Midsummer Purple, Set A
Crush Green, Set B
Midsummer Purple, Set D
Crush Blue, Set C
Crush Blue, Set D
Crush Green, Set C
Crush Green, Set D
Crush Blue, Set E
Crush Blue, Set B",128GB,5,"Screen: 6.26 inches , 16.7M colors,FHD+ 2340 x 1080
48MP Five AI Cameras, AI HDR+ for Backlit Shot
CPU: HUAWEI Kirin 980 Octa-core
GPU:Mali-G76 720 MHz,GPU Turbo 3.0
Memory: 8GB RAM+128GB ROM
UI: EMUI 9.1 (Based on Android 9)
Rear Camera:48 MP (f/1.8 aperture AF) + 16 M (f/2.2 aperture FF) + 2 M (f/2.4 aperture FF) + 2 M (f/2.4 aperture FF), supports autofocus (phase focus, contrast focus).
Front Camera:32 MP (f/2.0 aperture), supports fixed focal length.
Battery:3,750 mAh (typical value)
Charging: 22.5W HUAWEI SuperCharge
NFC supported
Sensors: Ambient Light Sensor, Gyroscope, Compass, Proximity Sensor, Gravity Sensor, Hall Sensor, Fingerprint Sensor
2 Year Huawei Malaysia Warranty (Buyer to redeem Extended Warranty in Huawei Hicare App, promo ends 30th June 2020)",5.0/5.0,380,8,0,1,2,"[{'Date': '2020-06-22', 'Time': '20:27 PM', 'Reviewer': 'by muhammad R.', 'Comment': 'Terbaik, seller sangat membantu. Barang semua ade Dan dalam keadaan baik. ', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/ready-stock-huawei-nova-7-se-8gb-ram-128gb-rom-1-year-warranty-by-huawei-malaysia-free-shipping-i1126420022-s3185684549.html?search=1,[READY STOCK] Huawei Nova 7 SE 8GB RAM | 128GB ROM | 1 Year Warranty By Huawei Malaysia | Free Shipping,"RM1,499.00",Federal Territory of Kuala Lumpur,4 Ratings, ,"Green
Purple
Silver",128GB, ,"6.5"" Punch FullView Display
Kirin 820 5G Soc
64MP AI Quad Camera
4,000 mAh Battery, 40W Huawei SuperCharge
4K Videography
960 fps Slow-Mo
Dual-View Video
Super Night Selfie",5.0/5.0,4,0,0,0,0,"[{'Date': '2020-06-22', 'Time': '12:34 PM', 'Reviewer': 'by Eisaam N.', 'Comment': 'marvelous service, fast delivery and a lot of free gift. thanks boss', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '20:34 PM', 'Reviewer': 'by Ooi C.', 'Comment': 'Good seller! Fast shipping!', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/huawei-y6p-4gb-64gb-smartphone-free-shipping-i996240180-s2631360130.html?search=1,"HUAWEI Y6P (4GB + 64GB) Smartphone, Free Shipping",RM559.00,Selangor,29 Ratings, ,"Phantom Purple
Midnight Black
Emerald Green",64GB,,"GENERAL
MODEL NAME: HUAWEI Y6p
COLOR: Midnight Black, Emerald Green, Phantom Purple
DIMENSIONS: 159.07 mm (H) * 74.06 mm (W) * 9.04 mm (D)
IN THE BOX: Handset, Charger, USB cable, Quick Start Guide, Warranty Card, Eject tool, Battery cover protective film, TP protective film
ITEM WEIGHT: Approx 185 g",4.5/5.0,20,6,2,0,1,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/asus-rog-phone-2-gaming-smartphone-8gb-ram-128gb-rom-1-year-warranty-by-asus-malaysia-i610490798-s1738844262.html?search=1,"Asus ROG Phone 2, Gaming Smartphone (8GB RAM +128GB ROM) 1 Year Warranty By Asus Malaysia!!","RM2,499.00",Selangor,35 Ratings, , , ,,"Band 4G / LTE
Dimension 171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in)
Processor Type Qualcomm Snapdragon 855+
No of Cores Octa Core
Card Slot No
Display (inches) 6.59
Resolution (px) 1080 x 2340 pixels FULL HD+
Rear Camera DUAL 48MP +13MP
Front Camera 24MP
Operating System Android 9.0 (Pie), ROG UI
Sim Dual SIM
Battery Capacity Li-Po 6000 mAh
What's In The Box Six Prism Box consist of 1 x ROG Phone II, 1 x Power Adaptor (30W) 1 x USB Cable C-C, 1 x ORIGINAL Aero Case, 1 x ORIGINAL AeroActive Cooler.",5.0/5.0,35,0,0,0,0,"[{'Date': '2020-06-22', 'Time': '22:35 PM', 'Reviewer': 'by Lazada Customer', 'Comment': '', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/xiaomi-mi-note-10-lite-8gb128gb-free-shipping-i969348407-s2505616603.html?search=1,Xiaomi Mi Note 10 Lite (8GB+128GB) Free Shipping,"RM1,599.00",Malaysia,27 Ratings, ,"NEBULA PURPLE
GLACIER WHITE
MIDNIGHT BLACK",128GB,,"Xiaomi Mi Note 10 Lite (8GB+128GB), Free Shipping
Xiaomi Mi Note 10 Lite (8GB+128GB)",4.8/5.0,23,3,1,0,0,"[{'Date': '2020-06-22', 'Time': '16:35 PM', 'Reviewer': 'by Lazada Customer', 'Comment': 'Waited for 2 weeks after placing the order. A soft transparent silicone case came in the box itself. No screen protector. The charging cable is type c USB 1m. 2 pin EU adapter. Charging was very fast. Finally able to charge every other day instead of daily thanks to the large battery capacity. The free laptop bag is of good quality. Bundled apps r reasonable n useful, n some can b uninstalled. Nebula purple is also very pretty. Overall happy with the purchase, but seller should probably improve on shipping speed. ', 'Like': '0'}]"
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/realme-5i-smartphone-4gb-64gb-ultra-wide-quad-camera-5000mah-free-shipping-i761214428-s1720280994.html?search=1,"realme 5i smartphone (4GB + 64GB) Ultra-Wide Quad Camera, 5000mAh , Free Shipping",RM599.00,Selangor,334 Ratings, ,"Forest Freen
Aqua Blue",64GB,,"Operating System: ColorOS 6.1 based on Android 9.0
Screen: 6.5-inches HD+ (1600 by 720 pixels)
Processor: Octa-core Processor Snapdragon 665 AIE with 2.0Ghz
RAM/Storage: 4Gb+64GB (up to 256GB SD Card)
Front: 8MP
Rear: 12MP+8MP+2MP+2MP
Battery: 5000mAh
SIM Slot: Dual nano-SIM and TF card
Sensor: Magnetic induction / Light / Proximity / Gyro-meter / Acceleration / Fingerprint",4.8/5.0,290,28,7,3,6,[]
Electronic Devices,Mobiles & Tablets,Mobiles,https://www.lazada.com.my/shop-mobiles/,https://www.lazada.com.my/products/realme-x3-superzoom-smartphone-8gb-128gb-snapdragon-855-plus-60x-superzoom-120hz-smooth-display-i1039160685-s2807480124.html?search=1,"realme X3 SuperZoom smartphone (8GB + 128GB) Snapdragon 855 Plus, 60X SuperZoom, 120Hz Smooth Display","RM1,999.00",Selangor,225 Ratings, ,"Arctic White
Glacier Blue",128GB,,"Operating system: realme UI Based on Android 10
Screen: 6.6-inch with 120Hz Smooth Display
Resolution: 2400 x 1080 FHD+
Processor: Qualcomm Snapdragon 855+
RAM/Storage: 8GB+128GB
Front: 32MP+8MP
Rear: 64MP+8MP+8MP+2MP
Battery: 4200mAh, 30W Dart Flash Charge
Audio: Dolby Atmos, Hi-Res Audio
SIM Slot: Dual
Sensor: NFC / Magnetic induction sensor / Light sensor / Proximity sensor / Gyro-meter / Acceleration sensor",4.9/5.0,211,9,1,3,1,"[{'Date': '2020-06-22', 'Time': '17:42 PM', 'Reviewer': 'by Omysyamimi M.', 'Comment': 'fast delivery and good packaging. Oshem/great camera and overall performance 👍 got free gift also as promised (realme air bud)', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '15:44 PM', 'Reviewer': 'by Mr.Ragaman', 'Comment': 'terbaik', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '21:46 PM', 'Reviewer': 'by 郭祚权', 'Comment': '', 'Like': '0'}, {'Date': '2020-06-22', 'Time': '09:46 AM', 'Reviewer': 'by Liew Y.', 'Comment': '', 'Like': '0'}]"
